feature,n_subjects,"ICC(3,1)",Robustness
original_glcm_Contrast,41,0.9979668612251339,Excellent
original_glcm_DifferenceAverage,41,0.9978659984264143,Excellent
original_glcm_DifferenceVariance,41,0.9975637181774979,Excellent
original_glcm_InverseVariance,41,0.9972358167861709,Excellent
original_glcm_Id,41,0.9972299338842554,Excellent
original_glcm_Idm,41,0.9970566819291458,Excellent
original_gldm_DependenceVariance,41,0.996618145833341,Excellent
original_glcm_DifferenceEntropy,41,0.9964549623721976,Excellent
original_ngtdm_Contrast,41,0.9955613287072135,Excellent
original_glrlm_RunVariance,41,0.9950197953949605,Excellent
original_gldm_LargeDependenceEmphasis,41,0.9949849607934986,Excellent
original_glrlm_LongRunEmphasis,41,0.9945307131601432,Excellent
original_gldm_DependenceNonUniformityNormalized,41,0.9939552728801812,Excellent
original_glcm_SumSquares,41,0.9936038078918815,Excellent
original_glrlm_RunPercentage,41,0.993559428477515,Excellent
original_glrlm_ShortRunEmphasis,41,0.9926621673980688,Excellent
original_glcm_Idmn,41,0.9926073380957454,Excellent
original_glrlm_RunLengthNonUniformityNormalized,41,0.9925529542763959,Excellent
original_glcm_JointEntropy,41,0.9911190473622672,Excellent
original_firstorder_RobustMeanAbsoluteDeviation,41,0.9905663207905934,Excellent
original_firstorder_InterquartileRange,41,0.9903742344653966,Excellent
original_gldm_SmallDependenceEmphasis,41,0.9901210833074393,Excellent
original_gldm_GrayLevelVariance,41,0.9888943549930511,Excellent
original_firstorder_Variance,41,0.9888837061986553,Excellent
original_glszm_ZonePercentage,41,0.9883081936642627,Excellent
original_glrlm_GrayLevelVariance,41,0.9879536554396329,Excellent
original_firstorder_MeanAbsoluteDeviation,41,0.9875281531946757,Excellent
original_glcm_Idn,41,0.9868150476431546,Excellent
original_firstorder_90Percentile,41,0.9852069155551153,Excellent
original_glcm_ClusterTendency,41,0.984700240540837,Excellent
original_glcm_ClusterProminence,41,0.9828336698090933,Excellent
original_ngtdm_Complexity,41,0.9788930578178126,Excellent
original_glcm_JointEnergy,41,0.9788353227240286,Excellent
original_glcm_MaximumProbability,41,0.9778386419397715,Excellent
original_firstorder_Entropy,41,0.9767449603103558,Excellent
original_glcm_MCC,41,0.9743255774804038,Excellent
original_gldm_SmallDependenceHighGrayLevelEmphasis,41,0.9734785628414158,Excellent
original_glcm_Correlation,41,0.9726926755676775,Excellent
original_firstorder_Uniformity,41,0.9720569223327494,Excellent
original_glrlm_GrayLevelNonUniformityNormalized,41,0.972036130367645,Excellent
original_glcm_SumEntropy,41,0.9718174429519776,Excellent
original_firstorder_RootMeanSquared,41,0.9712858122515768,Excellent
original_glcm_Imc2,41,0.9710769797865908,Excellent
original_gldm_SmallDependenceLowGrayLevelEmphasis,41,0.9706643779638965,Excellent
original_firstorder_10Percentile,41,0.9599831245574472,Excellent
original_glcm_Imc1,41,0.9534622681358973,Excellent
original_glszm_GrayLevelVariance,41,0.9512066071827294,Excellent
original_firstorder_Median,41,0.9486019634646453,Excellent
original_ngtdm_Strength,41,0.9463800908456544,Excellent
original_glszm_SizeZoneNonUniformityNormalized,41,0.9442339484232009,Excellent
original_firstorder_Mean,41,0.943286757861572,Excellent
original_ngtdm_Coarseness,41,0.9412054361471538,Excellent
original_glrlm_RunEntropy,41,0.9388533132166407,Excellent
original_glszm_SmallAreaEmphasis,41,0.9263235054532561,Excellent
original_shape_SurfaceVolumeRatio,41,0.9258163379724607,Excellent
original_gldm_LargeDependenceHighGrayLevelEmphasis,41,0.9199487481856433,Excellent
original_glszm_GrayLevelNonUniformityNormalized,41,0.9164829798511905,Excellent
original_glrlm_ShortRunLowGrayLevelEmphasis,41,0.9003966732698115,Excellent
original_gldm_LowGrayLevelEmphasis,41,0.8887677788501984,Good
original_glrlm_LowGrayLevelRunEmphasis,41,0.8879022191297558,Good
original_glszm_SizeZoneNonUniformity,41,0.8832891135079244,Good
original_gldm_DependenceEntropy,41,0.8786103620752507,Good
original_shape_MajorAxisLength,41,0.8760186703564941,Good
original_glszm_ZoneEntropy,41,0.8670697344060468,Good
original_firstorder_TotalEnergy,41,0.8584345572759929,Good
original_shape_MinorAxisLength,41,0.8555434784207958,Good
original_ngtdm_Busyness,41,0.8546772755312284,Good
original_shape_Sphericity,41,0.8530649281155025,Good
original_gldm_DependenceNonUniformity,41,0.8508929889587524,Good
original_glszm_GrayLevelNonUniformity,41,0.8496752936389558,Good
original_shape_Maximum2DDiameterSlice,41,0.848850559165821,Good
original_glrlm_RunLengthNonUniformity,41,0.8442253922842206,Good
original_glszm_SmallAreaLowGrayLevelEmphasis,41,0.8379185555892195,Good
original_glrlm_GrayLevelNonUniformity,41,0.8310835721525731,Good
original_shape_LeastAxisLength,41,0.8286478895305082,Good
original_firstorder_Energy,41,0.8222340521829284,Good
original_shape_Maximum2DDiameterColumn,41,0.8209636440950765,Good
original_gldm_GrayLevelNonUniformity,41,0.8199532489443899,Good
original_glrlm_LongRunLowGrayLevelEmphasis,41,0.81431007538056,Good
original_shape_MeshVolume,41,0.813530886977034,Good
original_shape_VoxelVolume,41,0.8134276660263468,Good
original_shape_SurfaceArea,41,0.8128500347515129,Good
original_shape_Flatness,41,0.8109440542496058,Good
original_glszm_LowGrayLevelZoneEmphasis,41,0.8069734886973013,Good
original_shape_Maximum3DDiameter,41,0.80578713833923,Good
original_shape_Maximum2DDiameterRow,41,0.8001555374112311,Good
original_firstorder_Maximum,41,0.7998479876117006,Good
original_glszm_SmallAreaHighGrayLevelEmphasis,41,0.7847246302374015,Good
original_glcm_ClusterShade,41,0.7823236961747108,Good
original_shape_Elongation,41,0.7741127695597121,Good
original_firstorder_Skewness,41,0.7184288630607012,Moderate
original_glrlm_ShortRunHighGrayLevelEmphasis,41,0.6829940608497695,Moderate
original_glszm_LargeAreaLowGrayLevelEmphasis,41,0.6785192480459965,Moderate
original_glszm_HighGrayLevelZoneEmphasis,41,0.6456174658224918,Moderate
original_glszm_LargeAreaEmphasis,41,0.6226587909129098,Moderate
original_glszm_ZoneVariance,41,0.6208888897899688,Moderate
original_glrlm_HighGrayLevelRunEmphasis,41,0.6159060555878293,Moderate
original_gldm_HighGrayLevelEmphasis,41,0.6148214772791423,Moderate
original_firstorder_Kurtosis,41,0.6121159790318843,Moderate
original_glrlm_LongRunHighGrayLevelEmphasis,41,0.5991291757536744,Moderate
original_gldm_LargeDependenceLowGrayLevelEmphasis,41,0.5916195298571135,Moderate
original_glszm_LargeAreaHighGrayLevelEmphasis,41,0.5900747028572563,Moderate
original_glcm_Autocorrelation,41,0.5615301242293358,Moderate
original_firstorder_Range,41,0.5022773630408922,Moderate
original_glcm_SumAverage,41,0.4815896870886507,Poor
original_glcm_JointAverage,41,0.4815896870886503,Poor
original_firstorder_Minimum,41,0.4133911361213295,Poor
