selected_features,"ICC(3,1)"
original_shape_SurfaceVolumeRatio,0.9258163379724608
original_shape_Maximum2DDiameterSlice,0.848850559165821
original_glcm_Imc1,0.9534622681358972
original_glszm_SmallAreaLowGrayLevelEmphasis,0.8379185555892195
original_ngtdm_Strength,0.9463800908456544
original_shape_Maximum3DDiameter,0.80578713833923
original_firstorder_TotalEnergy,0.8584345572759929
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.9706643779638964
original_shape_MajorAxisLength,0.8760186703564941
original_glrlm_RunLengthNonUniformity,0.8442253922842206
