selected_features,"ICC(3,1)"
original_glrlm_RunPercentage,0.993559428477515
original_glrlm_ShortRunEmphasis,0.9926621673980688
original_glcm_ClusterProminence,0.9828336698090931
original_glcm_MaximumProbability,0.9778386419397715
original_glcm_Correlation,0.9726926755676776
original_ngtdm_Strength,0.9463800908456544
original_glszm_SmallAreaEmphasis,0.926323505453256
original_glszm_ZoneEntropy,0.8670697344060468
original_shape_MinorAxisLength,0.8555434784207958
original_shape_Sphericity,0.8530649281155025
original_glszm_SmallAreaLowGrayLevelEmphasis,0.8379185555892195
original_shape_LeastAxisLength,0.8286478895305082
original_shape_Maximum3DDiameter,0.80578713833923
original_glcm_ClusterShade,0.7823236961747108
original_firstorder_Skewness,0.7184288630607012
