FS_method,Classifier,Num_features,Accuracy_on_VS,Time_sec
DT,Neural Network,10,0.8181818181818182,0.36640477180480957
EBR,KNN,4,0.8181818181818182,0.005162715911865234
mRMR,Decision Tree,2,0.7727272727272727,0.00989675521850586
QRA,Naive Bayes,8,0.7727272727272727,0.005666494369506836
QRA,Neural Network,8,0.7727272727272727,0.21163654327392578
QRA,Random Forest,8,0.7727272727272727,1.114579677581787
mRMR,Logistic Regression,2,0.7272727272727273,0.013974189758300781
QRA,Logistic Regression,8,0.7272727272727273,0.01698923110961914
mRMR,Naive Bayes,2,0.7272727272727273,0.010711908340454102
mRMR,Random Forest,2,0.7272727272727273,0.5439357757568359
QRA,Decision Tree,8,0.7272727272727273,0.006926298141479492
EBR,Neural Network,4,0.7272727272727273,0.22041821479797363
DT,KNN,10,0.7272727272727273,0.0064618587493896484
EBR,Logistic Regression,4,0.7272727272727273,0.0057528018951416016
QRA,SVM,8,0.7272727272727273,0.015146732330322266
EBR,Decision Tree,4,0.7272727272727273,0.004027366638183594
DT,Naive Bayes,10,0.6818181818181818,0.004442930221557617
mRMR,KNN,2,0.6818181818181818,0.008664369583129883
mRMR,Neural Network,2,0.6818181818181818,0.6363370418548584
EBR,SVM,4,0.6818181818181818,0.00571894645690918
GA,Logistic Regression,15,0.6818181818181818,0.0065157413482666016
EBR,Random Forest,4,0.6818181818181818,0.3914346694946289
mRMR,SVM,2,0.6363636363636364,0.008810758590698242
QRA,KNN,8,0.6363636363636364,0.026430130004882812
EBR,Naive Bayes,4,0.6363636363636364,0.0056073665618896484
DT,SVM,10,0.5909090909090909,0.008219718933105469
DT,Logistic Regression,10,0.5454545454545454,0.0065882205963134766
