Feature Set,Classifier,Default Accuracy,Tuned Accuracy,Improvement,Best Params
mRMR,Naive Bayes,0.725,0.725,0.0,{'var_smoothing': 1e-09}
mRMR,Decision Tree,0.675,0.7583333333333333,0.08333333333333326,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 2}"
mRMR,Logistic Regression,0.725,0.725,0.0,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}"
mRMR,Random Forest,0.775,0.775,0.0,"{'bootstrap': True, 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
mRMR,SVM,0.6916666666666667,0.7333333333333334,0.04166666666666674,"{'C': 0.7, 'gamma': 'scale', 'kernel': 'rbf'}"
mRMR,KNN,0.7666666666666666,0.725,-0.04166666666666663,"{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'}"
mRMR,Neural Network,0.7166666666666667,0.775,0.05833333333333335,"{'activation': 'tanh', 'alpha': 1.0, 'hidden_layer_sizes': (50,)}"
QRA,Naive Bayes,0.7833333333333333,0.7833333333333333,0.0,{'var_smoothing': 1e-09}
QRA,Decision Tree,0.7666666666666666,0.7166666666666667,-0.04999999999999993,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
QRA,Logistic Regression,0.7166666666666667,0.8166666666666667,0.09999999999999998,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
QRA,Random Forest,0.7166666666666667,0.725,0.008333333333333304,"{'bootstrap': True, 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}"
QRA,SVM,0.775,0.775,0.0,"{'C': 0.7, 'gamma': 'scale', 'kernel': 'rbf'}"
QRA,KNN,0.5416666666666667,0.65,0.10833333333333328,"{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}"
QRA,Neural Network,0.725,0.7333333333333334,0.008333333333333415,"{'activation': 'relu', 'alpha': 1.0, 'hidden_layer_sizes': (100, 50)}"
EBR,Naive Bayes,0.65,0.65,0.0,{'var_smoothing': 1e-09}
EBR,Decision Tree,0.675,0.7583333333333333,0.08333333333333326,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}"
EBR,Logistic Regression,0.725,0.6833333333333333,-0.04166666666666663,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
EBR,Random Forest,0.675,0.675,0.0,"{'bootstrap': False, 'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}"
EBR,SVM,0.6833333333333333,0.6333333333333333,-0.050000000000000044,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}"
EBR,KNN,0.7666666666666666,0.8083333333333333,0.04166666666666674,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}"
EBR,Neural Network,0.6416666666666666,0.7166666666666667,0.07500000000000007,"{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (100, 50)}"
GA,Logistic Regression,0.675,0.8666666666666667,0.19166666666666665,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
DT,Naive Bayes,0.6833333333333333,0.6833333333333333,0.0,{'var_smoothing': 1e-09}
DT,Decision Tree,0.6666666666666667,0.625,-0.04166666666666674,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 10, 'min_samples_split': 2}"
DT,Logistic Regression,0.5416666666666667,0.5916666666666667,0.04999999999999993,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}"
DT,Random Forest,0.7166666666666667,0.675,-0.04166666666666663,"{'bootstrap': False, 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
DT,SVM,0.6833333333333333,0.7416666666666667,0.05833333333333335,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
DT,KNN,0.675,0.5833333333333333,-0.09166666666666679,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}"
DT,Neural Network,0.8166666666666667,0.775,-0.04166666666666663,"{'activation': 'relu', 'alpha': 0.05, 'hidden_layer_sizes': (100,)}"
