FS_method,Classifier,Best_Threshold,AUC_Train,AUC_Val,AUC_Test,BA_Train,BA_Val,BA_Test,Best_Params
mRMR,Naive Bayes,0.58498190636724,0.8619896492236918,0.8833333333333333,0.9382716049382716,0.7449683726279471,0.8666666666666667,0.837037037037037,"{'priors': None, 'var_smoothing': 1e-09}"
mRMR,SVM,0.5155627681432118,0.8967797584818862,0.8583333333333334,0.8864197530864196,0.8338125359401956,0.8666666666666667,0.8148148148148149,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
DT,SVM,0.5,0.8953421506612996,0.8666666666666667,0.8395061728395061,0.8174238067855089,0.8666666666666667,0.7037037037037037,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
GA,Logistic Regression,0.5219919123278519,0.8683151236342725,0.8500000000000001,0.8617283950617285,0.8039102932719955,0.8666666666666667,0.6703703703703704,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 2000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
DT,Logistic Regression,0.6732026989570725,0.9056929269695227,0.9,0.8864197530864197,0.7924094307073031,0.8583333333333334,0.6851851851851851,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}"
QRA,Random Forest,0.23,1.0,0.8458333333333333,0.8444444444444443,0.925531914893617,0.8333333333333333,0.8037037037037037,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
EBR,Logistic Regression,0.3806956883233717,0.8867165037377803,0.8416666666666667,0.9185185185185185,0.8076480736055205,0.825,0.8333333333333333,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
QRA,Logistic Regression,0.3806956883234272,0.8867165037377803,0.8416666666666667,0.9185185185185185,0.8076480736055205,0.825,0.8333333333333333,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
mRMR,Random Forest,0.49,1.0,0.8416666666666668,0.8790123456790122,1.0,0.8166666666666667,0.8148148148148149,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
QRA,Naive Bayes,0.4591575771598183,0.8683151236342725,0.775,0.9506172839506173,0.7912593444508338,0.7833333333333333,0.7814814814814814,"{'priors': None, 'var_smoothing': 1e-09}"
QRA,SVM,0.3988169602372653,0.8913168487636572,0.825,0.8888888888888888,0.8317998849913744,0.7833333333333333,0.7814814814814814,"{'C': 50, 'gamma': 0.1, 'kernel': 'rbf'}"
QRA,Neural Network,2.0454362783531366e-09,1.0,0.7541666666666667,0.9234567901234567,0.851063829787234,0.7833333333333333,0.8555555555555556,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 2000, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': 42, 'shuffle': True, 'solver': 'lbfgs', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}"
EBR,SVM,0.39881696023726637,0.8913168487636572,0.825,0.8888888888888888,0.8317998849913744,0.7833333333333333,0.7814814814814814,"{'C': 50, 'gamma': 0.1, 'kernel': 'rbf'}"
EBR,Naive Bayes,0.4591575771598181,0.8683151236342725,0.775,0.9506172839506173,0.7912593444508338,0.7833333333333333,0.7814814814814814,"{'priors': None, 'var_smoothing': 1e-09}"
EBR,Random Forest,0.29,1.0,0.825,0.8333333333333333,0.9787234042553192,0.7833333333333333,0.7851851851851852,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
