Model,Balanced Accuracy,Sensitivity,Specificity,PPV (Precision),NPV,F1 Score,ROC AUC,Best_Threshold,Best_Params,FS_method,Classifier
mRMR + Naive Bayes,0.793271995399655,0.7567567567567568,0.8297872340425532,0.7777777777777778,0.8125,0.7671232876712328,0.867740080506038,0.58498190636724,"{'priors': None, 'var_smoothing': 1e-09}",mRMR,Naive Bayes
mRMR + SVM,0.8338125359401956,0.8378378378378378,0.8297872340425532,0.7948717948717948,0.8666666666666667,0.8157894736842105,0.8809660724554342,0.5155627681432118,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}",mRMR,SVM
DT + SVM,0.8067855089131685,0.7837837837837838,0.8297872340425532,0.7837837837837838,0.8297872340425532,0.7837837837837838,0.8700402530189765,0.5,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",DT,SVM
GA + Logistic Regression,0.7903967797584819,0.7297297297297297,0.851063829787234,0.7941176470588235,0.8,0.7605633802816901,0.875215641173088,0.5219919123278519,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 2000, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",GA,Logistic Regression
DT + Logistic Regression,0.5974698102357676,0.21621621621621623,0.9787234042553191,0.8888888888888888,0.6133333333333333,0.34782608695652173,0.8171362852213917,0.6732026989570725,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}",DT,Logistic Regression
QRA + Random Forest,0.925531914893617,1.0,0.851063829787234,0.8409090909090909,1.0,0.9135802469135802,1.0,0.23,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",QRA,Random Forest
EBR + Logistic Regression,0.8269120184013801,0.972972972972973,0.6808510638297872,0.7058823529411765,0.9696969696969697,0.8181818181818182,0.8602645198389879,0.3806956883233717,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",EBR,Logistic Regression
QRA + Logistic Regression,0.8269120184013801,0.972972972972973,0.6808510638297872,0.7058823529411765,0.9696969696969697,0.8181818181818182,0.8602645198389879,0.3806956883234272,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}",QRA,Logistic Regression
mRMR + Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.49,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",mRMR,Random Forest
QRA + Naive Bayes,0.7912593444508338,0.8378378378378378,0.7446808510638298,0.7209302325581395,0.8536585365853658,0.775,0.8683151236342725,0.4591575771598183,"{'priors': None, 'var_smoothing': 1e-09}",QRA,Naive Bayes
