Balanced Accuracy,Sensitivity,Specificity,PPV (Precision),NPV,F1 Score,ROC AUC,Mask,Model
0.7880952380952382,0.8333333333333334,0.7428571428571429,0.35714285714285715,0.9629629629629629,0.5,0.8380952380952381,Mask 1,mRMR + Naive Bayes
0.6714285714285715,1.0,0.34285714285714286,0.20689655172413793,1.0,0.34285714285714286,0.680952380952381,Mask 2,mRMR + Naive Bayes
0.8023809523809524,0.8333333333333334,0.7714285714285715,0.38461538461538464,0.9642857142857143,0.5263157894736842,0.9095238095238095,Mask 1,mRMR + SVM
0.8142857142857143,1.0,0.6285714285714286,0.3157894736842105,1.0,0.48,0.7904761904761904,Mask 2,mRMR + SVM
0.8571428571428572,1.0,0.7142857142857143,0.375,1.0,0.5454545454545454,0.8761904761904762,Mask 1,DT + SVM
0.7738095238095238,0.8333333333333334,0.7142857142857143,0.3333333333333333,0.9615384615384616,0.47619047619047616,0.819047619047619,Mask 2,DT + SVM
0.8023809523809524,0.8333333333333334,0.7714285714285715,0.38461538461538464,0.9642857142857143,0.5263157894736842,0.8476190476190476,Mask 1,GA + Logistic Regression
0.7,1.0,0.4,0.2222222222222222,1.0,0.36363636363636365,0.7809523809523811,Mask 2,GA + Logistic Regression
0.6785714285714286,0.5,0.8571428571428571,0.375,0.9090909090909091,0.42857142857142855,0.8857142857142858,Mask 1,DT + Logistic Regression
0.719047619047619,0.6666666666666666,0.7714285714285715,0.3333333333333333,0.9310344827586207,0.4444444444444444,0.719047619047619,Mask 2,DT + Logistic Regression
0.8857142857142857,1.0,0.7714285714285715,0.42857142857142855,1.0,0.6,0.9904761904761904,Mask 1,QRA + Random Forest
0.6571428571428571,1.0,0.3142857142857143,0.2,1.0,0.3333333333333333,0.8333333333333334,Mask 2,QRA + Random Forest
0.7595238095238095,0.8333333333333334,0.6857142857142857,0.3125,0.96,0.45454545454545453,0.8285714285714285,Mask 1,QRA + Naive Bayes
0.8285714285714285,1.0,0.6571428571428571,0.3333333333333333,1.0,0.5,0.8571428571428572,Mask 2,QRA + Naive Bayes
0.8142857142857143,1.0,0.6285714285714286,0.3157894736842105,1.0,0.48,0.9476190476190476,Mask 1,QRA + Neural Network
0.6595238095238095,0.8333333333333334,0.4857142857142857,0.21739130434782608,0.9444444444444444,0.3448275862068966,0.8095238095238095,Mask 2,QRA + Neural Network
0.7595238095238095,0.8333333333333334,0.6857142857142857,0.3125,0.96,0.45454545454545453,0.8285714285714285,Mask 1,EBR + Naive Bayes
0.8285714285714285,1.0,0.6571428571428571,0.3333333333333333,1.0,0.5,0.8571428571428572,Mask 2,EBR + Naive Bayes
0.7738095238095238,0.8333333333333334,0.7142857142857143,0.3333333333333333,0.9615384615384616,0.47619047619047616,0.8238095238095238,Mask 1,DT + Naive Bayes
0.5880952380952381,0.8333333333333334,0.34285714285714286,0.17857142857142858,0.9230769230769231,0.29411764705882354,0.6738095238095239,Mask 2,DT + Naive Bayes
0.7595238095238095,0.8333333333333334,0.6857142857142857,0.3125,0.96,0.45454545454545453,0.8761904761904762,Mask 1,mRMR + Logistic Regression
0.7571428571428571,1.0,0.5142857142857142,0.2608695652173913,1.0,0.41379310344827586,0.8095238095238095,Mask 2,mRMR + Logistic Regression
0.8142857142857143,1.0,0.6285714285714286,0.3157894736842105,1.0,0.48,0.9809523809523809,Mask 1,DT + Neural Network
0.5357142857142857,0.5,0.5714285714285714,0.16666666666666666,0.8695652173913043,0.25,0.44285714285714284,Mask 2,DT + Neural Network
0.8023809523809524,0.8333333333333334,0.7714285714285715,0.38461538461538464,0.9642857142857143,0.5263157894736842,0.8928571428571429,Mask 1,DT + KNN
0.7023809523809523,0.8333333333333334,0.5714285714285714,0.25,0.9523809523809523,0.38461538461538464,0.719047619047619,Mask 2,DT + KNN
0.7142857142857143,1.0,0.42857142857142855,0.23076923076923078,1.0,0.375,0.8500000000000001,Mask 1,QRA + KNN
0.6428571428571428,1.0,0.2857142857142857,0.1935483870967742,1.0,0.32432432432432434,0.8095238095238095,Mask 2,QRA + KNN
0.7142857142857143,1.0,0.42857142857142855,0.23076923076923078,1.0,0.375,0.8500000000000001,Mask 1,EBR + KNN
0.6428571428571428,1.0,0.2857142857142857,0.1935483870967742,1.0,0.32432432432432434,0.8095238095238095,Mask 2,EBR + KNN
