selected_features,"ICC(3,1)"
original_glcm_ClusterTendency,0.984700240540837
original_firstorder_RootMeanSquared,0.9712858122515768
original_glcm_Imc2,0.9710769797865908
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.9706643779638964
original_shape_SurfaceVolumeRatio,0.9258163379724608
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.9199487481856432
original_glszm_GrayLevelNonUniformityNormalized,0.9164829798511904
original_gldm_DependenceEntropy,0.8786103620752507
original_shape_SurfaceArea,0.8128500347515129
original_glszm_LowGrayLevelZoneEmphasis,0.8069734886973013
original_shape_Maximum3DDiameter,0.80578713833923
